,Unnamed: 0,price,score,reviews,guest,bedroom,bed,bath,amentity_wifi,amentity_dryer,amentity_essentials,amentity_hangers,amentity_hair_dryer,amentity_washer,amentity_iron,amentity_air_conditioning,score_cleanliness,score_accuracy,score_communication,score_location,score_check_in,score_value,is_host_verified,is_superhost,no_pets,can_parties,can_smoking,service_fee,amentity_elevator,amentity_kitchen,amentity_cable_tv,amentity_tv,host_reviews,host_response_rate,host_response_time,amentity_laptop-friendly_workspace,amentity_first_aid_kit,amentity_indoor_fireplace,amentity_heating,amentity_carbon_monoxide_alarm,amentity_free_parking_on_premises,amentity_breakfast,amentity_hot_tub,cleaning_fee,amentity_fire_extinguisher,amentity_gym,amentity_pool,amentity_smoke_alarm,amentity_free_street_parking,amentity_private_entrance,amentity_room-darkening_shades,amentity_building_staff,amentity_paid_parking_off_premises,amentity_high_chair,amentity_bathtub,shared_bath,private_bath,amentity_private_living_room,amentity_lock_on_bedroom_door,is_dong_nai,is_binh_duong,is_ngoai_tinh,is_phu_nhuan,is_tan_phu,is_binh_tan,is_quan_4,is_can_gio,is_nha_be,is_quan_5,is_go_vap,is_binh_chanh,is_quan_12,is_tan_binh,is_quan_3,is_quan_7,is_hoc_mon,is_quan_9,is_quan_8,is_quan_6,is_quan_2,is_quan_10,is_quan_1,is_quan_11,is_cu_chi,is_thu_duc,is_binh_thanh,is_entire_home,is_private_room,is_hotel_room,is_shared_room
1353,1353,40,4.89,19,2,1,1,1,1,0,0,0,1,1,1,1,4.7,4.8,4.9,4.8,5,4.8,0,0,1,1,1,6,1,1,0,1,50,100,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1354,1354,40,4.83,6,3,2,2,1,1,1,1,0,0,0,0,0,4.8,5,5,5,5,5,1,0,0,1,1,6,1,1,0,1,78,100,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1355,1355,41,4.73,30,3,1,2,1,1,0,1,1,1,0,0,0,4.9,4.9,5,4.9,4.8,4.7,0,0,0,0,1,6,0,1,1,1,64,100,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1356,1356,40,5,7,2,1,1,1,1,1,1,1,1,0,0,0,4.9,5,5,4.9,5,4.9,0,1,0,0,1,6,0,1,0,1,47,100,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1357,1357,39,5,4,2,1,1,1,1,1,1,0,0,0,0,0,5,5,5,4.8,5,4.8,1,0,0,1,1,6,1,1,0,1,45,60,2,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1358,1358,39,4.29,7,3,1,1,1,1,0,1,1,1,0,0,0,4.3,3.9,4.3,4.6,4.6,4.1,1,0,0,0,1,6,1,1,1,1,720,90,1,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1359,1359,40,4.85,13,3,1,2,1,1,1,1,0,0,0,0,0,4.8,5,4.9,4.7,5,4.8,0,1,1,1,1,7,0,1,1,0,13,100,1,0,0,0,1,0,1,1,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1360,1360,40,4.91,33,4,1,2,1.5,1,0,1,1,1,0,0,0,4.8,5,5,5,5,4.9,0,1,0,1,1,6,0,1,1,1,33,100,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1361,1361,39,4.76,25,2,0,1,1,1,0,1,1,1,0,0,0,4.6,4.9,4.8,4.8,4.9,4.8,0,1,0,1,1,6,1,1,0,1,392,100,1,0,0,0,0,0,1,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1362,1362,40,0,0,3,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,1,0,1,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
